LSOA11CD,LSOA11NM,area,NO2,NOx,PM25,PM10,AQ,IMD,IMD_R,population,pop_density,LAD11NM
E01000126,Barnet 026A,0.157844498,26.26737158,39.09959708,10.32146474,15.78872155,288.1812303,33.625,2,2260,14317.88896,Barnet
E01000127,Barnet 024B,0.196296238,25.83206125,38.21106247,10.28044025,15.44036428,292.7233063,27.543,3,1572,8008.304278,Barnet
E01000128,Barnet 024C,0.242813522,25.99238399,38.50166636,10.3251614,15.58635741,290.7394707,27.055,3,1961,8076.156496,Barnet
E01000129,Barnet 024D,0.173276331,28.59773478,47.05528539,10.64792898,16.52391562,267.2710641,31,3,1840,10618.87674,Barnet
E01000130,Barnet 021A,0.176374048,26.683012,40.61501956,10.37830052,15.83030203,284.4127065,30.863,3,1854,10511.75058,Barnet
E01000131,Barnet 024E,0.334185155,26.07108545,38.46335232,10.33525627,15.7292527,289.7734013,20.904,5,1995,5969.744522,Barnet
E01000132,Barnet 021B,0.153004035,25.80478427,38.14575637,10.28677111,15.39183226,293.0943822,25.53,4,1539,10058.55828,Barnet
E01000133,Barnet 021C,0.159368245,26.46559388,40.10948944,10.36019109,15.69610482,286.4467479,30.774,3,1680,10541.62326,Barnet
E01000134,Barnet 024F,0.160297753,26.27221262,39.66494098,10.37723934,15.59952003,287.8840345,24.669,4,1772,11054.42819,Barnet
E01000135,Barnet 038A,0.333707333,30.56016433,49.5491555,11.14362506,17.37838958,253.5653673,12.523,7,1745,5229.132925,Barnet
E01000136,Barnet 038B,0.520178316,28.88188655,44.04476417,10.74992252,16.43958124,269.3961593,8.96,8,1618,3110.471831,Barnet
E01000137,Barnet 041A,0.123572335,30.25422618,48.11436333,11.02677106,17.06196881,257.6387363,28.786,3,1682,13611.46082,Barnet
E01000138,Barnet 040A,0.258941909,33.11771011,57.97556937,11.48344508,18.34419484,236.6619726,27.86,3,1560,6024.517248,Barnet
E01000139,Barnet 041B,0.353186563,31.43810033,52.03161861,11.22596962,17.66092636,248.1570876,12.388,7,1600,4530.183675,Barnet
E01000140,Barnet 041C,0.144272336,31.93888312,52.73541481,11.21695458,17.80000304,246.2494942,16.817,6,2143,14853.8525,Barnet
E01000141,Barnet 039A,0.369540882,32.28553364,55.55321597,11.35429825,17.93463258,242.0914013,28.797,3,2303,6232.057435,Barnet
E01000142,Barnet 040B,0.199754438,29.47342465,46.20615738,10.93489395,16.7954384,262.861399,16.669,6,2706,13546.63267,Barnet
E01000143,Barnet 041D,0.17138727,29.78884368,46.98861027,10.97003461,16.72410669,261.5212738,31.342,3,1502,8763.778089,Barnet
E01000144,Barnet 038C,0.192099824,30.20878785,48.57599876,11.03952213,17.05516996,257.2339165,18.338,5,1786,9297.249533,Barnet
E01000145,Barnet 037A,0.20983685,29.98006813,47.62785611,11.09692474,17.10463259,257.9161976,14.626,6,1716,8177.78194,Barnet
E01000146,Barnet 038D,0.21025985,30.61791656,49.92755399,11.06491895,17.29567058,254.0524519,18.538,5,2141,10182.63831,Barnet
E01000147,Barnet 030A,0.203461927,27.40055152,41.91551298,10.5129277,16.17755231,278.2475331,12.786,7,1899,9333.441529,Barnet
E01000148,Barnet 030B,0.229704605,29.0384456,47.28752956,10.74391006,16.91506175,263.6062954,27.671,3,3197,13917.87508,Barnet
E01000150,Barnet 036A,0.463712331,28.84877425,45.88227399,10.69123411,16.60165733,267.2158247,15.583,6,2261,4875.867749,Barnet
E01000151,Barnet 026B,0.14281997,26.89532971,40.6708277,10.35204425,15.95172779,283.4424776,38.897,2,1790,12533.26129,Barnet
E01000152,Barnet 026C,0.180545012,28.62320736,46.59511166,10.61242878,16.40426064,268.5104658,32.418,3,1890,10468.30359,Barnet
E01000153,Barnet 026D,0.165884949,26.03279318,38.53190956,10.27240783,15.62321466,290.8499012,41.649,2,1811,10917.20504,Barnet
E01000154,Barnet 026E,0.133192919,26.99044924,40.81816979,10.38446267,16.05228858,282.2571429,32.667,3,1725,12951.13897,Barnet
E01000155,Barnet 030D,0.29613131,26.77818627,40.15303726,10.38528968,15.97992554,283.9878798,20.797,5,4984,16830.37164,Barnet
E01000156,Barnet 022A,0.178557503,28.18729064,44.28936783,10.66741523,16.26148714,272.0885755,8.319,9,2123,11889.72723,Barnet
